Date,Close,High,Low,Open,Volume
04-01-2010,132.2060089111328,133.00252281360304,131.4996740089106,131.80024124735957,9162186
05-01-2010,133.46090698242188,135.21924626945392,132.47653059948573,133.4533899630975,14659997
06-01-2010,134.48281860351562,136.3613920182891,133.7689667598759,134.50535704491185,20410054
07-01-2010,133.21290588378906,134.76836099975458,131.7250787027592,134.76836099975458,10852286
08-01-2010,131.3418426513672,133.75392235426764,130.89850258863828,133.61866649148408,20580934
11-01-2010,130.6580810546875,132.52162078449896,130.1395959053662,131.9505417245335,18184672
12-01-2010,126.65294647216797,131.04880010555178,126.23966184242353,130.65805391676662,22781935
13-01-2010,126.3373794555664,126.87088601159687,123.48195903557516,123.48195903557516,31684856
14-01-2010,125.5333480834961,129.39568328739375,124.91717954444329,127.29168730924971,33858143
15-01-2010,126.6078872680664,127.53214005069027,124.8044585910311,126.2772519506378,19521925
18-01-2010,129.7488250732422,130.56787725037952,124.78189288995291,125.33795036432358,22909535
19-01-2010,130.07191467285156,131.64990792004096,129.09506831682373,129.84649247144313,20804140
20-01-2010,131.9429931640625,132.94239073943143,130.59042188754285,130.71816073638414,27480893
21-01-2010,128.14830017089844,131.19908711667424,126.58532791244149,130.72569153434551,33727122
22-01-2010,126.34486389160156,127.29166761085003,123.36170506844891,124.58652493795107,32621154
25-01-2010,124.8570327758789,126.11190793850422,124.02294659813393,124.97725459657487,15865157
27-01-2010,118.31963348388672,124.34607496698057,117.22255241317255,123.23397247215138,38013514
28-01-2010,118.43234252929688,121.40047986952273,117.1098392909885,120.2282539239506,56519067
29-01-2010,124.78939056396484,126.08936781059775,116.47110517358543,116.47110517358543,59256560
01-02-2010,125.60847473144531,127.50206957438276,122.48254299011687,123.24898873640502,28587542
02-02-2010,123.08369445800781,126.60788990295272,122.60278181578298,126.38997202641558,29159537
03-02-2010,126.15701293945312,126.99109921975537,123.72239464656037,124.00042340666111,18166148
04-02-2010,124.55648040771484,127.59224601008155,124.06054636954777,125.45819471113329,18276049
05-02-2010,119.9502182006836,121.70103999961395,118.72539842689706,121.70103999961395,27352501
08-02-2010,121.0323257446289,127.74256544044493,118.12429833620703,127.74256544044493,22972361
09-02-2010,122.09181213378906,122.93340294059374,118.93582453648786,121.12998686175641,20874557
10-02-2010,120.19820404052734,123.46690873028311,119.75486393461179,122.93338963209717,19253811
11-02-2010,124.14319610595703,124.70677070038327,118.7404399,118.7404399,19596379
15-02-2010,122.8357162475586,125.03739553286653,122.10683029411327,125.03739553286653,10649243
16-02-2010,125.10501098632812,125.90904182170412,122.78311008326484,122.78311008326484,11282936
17-02-2010,126.38247680664062,127.39690878667216,124.82703377634921,126.23970387065876,28238435
18-02-2010,126.24720764160156,128.19340939896767,125.39058272806145,126.23969062208612,25365791
19-02-2010,125.27033996582031,125.78882503915091,122.79813644156165,125.03738807439956,18276038
22-02-2010,124.97726440429688,127.74251784664375,124.54895836890016,127.01363201102988,12621301
23-02-2010,127.40442657470703,128.04313366787187,124.07559735503959,124.7218340810043,20701076
24-02-2010,126.41250610351562,127.12637063562954,125.18768609569503,126.2547117720443,17102217
25-02-2010,127.98297119140625,128.91474080338276,125.14257286398659,126.42751616567121,23944123
26-02-2010,131.07131958007812,133.30305373526997,126.54022334415663,127.03615726061918,35508192
02-03-2010,134.82847595214844,135.70765174507002,133.01754307775906,133.01754307775906,28273393
03-03-2010,136.5116729736328,137.13535845595678,134.55796716436228,135.24176356698464,25091231
04-03-2010,135.0163574,137.4434590899161,133.63373041533603,136.15851549363077,17625426
05-03-2010,135.51980590820312,136.60937005060504,134.0019230377838,134.97126532755138,14922803
08-03-2010,138.8260955810547,139.28446981235118,136.75967194911416,136.75967194911416,32294977
09-03-2010,139.03648376464844,140.45668322138062,136.61688655872663,138.56308814988697,34059690
10-03-2010,137.93185424804688,139.69019303008338,136.51917213117426,139.0139137340866,22191510
11-03-2010,139.89309692382812,140.77227274742089,137.22553921740666,137.5110723987273,21146158
12-03-2010,140.7647247314453,141.55372138723715,139.9456726217354,140.5242684876569,20491075
15-03-2010,138.8260955810547,140.51680697195593,128.64426736274734,139.76538248987737,16240301
16-03-2010,139.8405303955078,140.50177588164766,137.09029756245678,138.41281375963487,14485526
17-03-2010,142.55316162109375,143.31210305076837,140.0659364790464,140.51679364803266,23114982
18-03-2010,144.82244873046875,145.70161188951224,142.62076971151396,142.77856402309104,25947581
19-03-2010,143.75546264648438,145.61148548052273,142.5381468643123,144.72480506030388,17969248
22-03-2010,140.5543670654297,142.6207905151855,138.41279865160138,142.6207905151855,20087584
23-03-2010,139.0890655517578,142.16992051357641,138.56307607561172,141.11791633639086,20200125
25-03-2010,140.3439483642578,141.2682010349433,137.15038869686433,138.26249114139557,26513751
26-03-2010,142.39532470703125,143.0565825898747,140.55433654919634,141.1178984324879,21544611
29-03-2010,143.16180419921875,144.1236294031119,141.1930642936103,142.0196336164839,21909514
30-03-2010,144.24386596679688,145.53631387373952,143.499946,143.6878084,18572757
31-03-2010,143.1467742919922,145.8969938596733,142.57568272824435,144.9952796313476,28237176
01-04-2010,143.16932678222656,144.55947073834426,141.91443871238548,143.82306777004592,19839534
05-04-2010,148.08363342285156,148.88766422575213,143.52248116116655,143.52248116116655,28263136
06-04-2010,149.95468139648438,151.74307565175565,148.08362517649584,149.06800128608577,30864163
07-04-2010,148.3842315673828,151.63790243202672,147.29465485848024,150.69111123888987,19863459
08-04-2010,144.43922424316406,148.48190429465197,143.9282562028624,147.61024551269833,23439388
09-04-2010,147.02410888671875,147.57264931663144,144.57445688175704,144.61954637032824,12637042
12-04-2010,144.9727325439453,148.01600211748888,144.4617519292413,147.27961187781597,20644701
13-04-2010,141.59881591796875,145.25073657952834,141.32077458132423,144.9727204677726,21935727
15-04-2010,137.9619141,143.9582994,137.5561464720837,142.4404168,29869411
16-04-2010,138.63070678710938,140.80233051153616,137.5561641462257,137.8116418711895,24517465
19-04-2010,138.23243713378906,139.2468688055267,135.6400244628582,137.33072289501035,23085573
20-04-2010,140.2161865234375,142.01960207397565,138.26246847605864,138.56304824485179,24374751
21-04-2010,143.0565948486328,143.4473410429888,141.1179105251169,141.26068341560173,20722333
